"cps_code","cps_libelle","cps_age_retraite","cps_description","cps_hierarchie_code","cps_cadre_code","cps_typecorps_code","cps_libelle_singulier"
"41350",INSPECTEURS ADJOINTS DE L'ENSEIGNEMENT ELEMENTAIRE OU DE L'EDUCATION PRESCOLAIRE NF REF,60,INSPECTEURS ADJOINTS DE L'ENSEIGNEMENT ELEMENTAIRE OU DE L'EDUCATION PRESCOLAIRE NF REF,"6_SG","28_SG",ENS_NON_FONCT,INSPECTEURS ADJOINTS DE L'ENSEIGNEMENT ELEMENTAIRE OU DE L'EDUCATION PRESCOLAIRE NF REF
"41351",INSPECTEURS ADJOINTS DE L'ENSEIGNEMENT ELEMENTAIRE OU INSPECTEURS DE L'EDUCATION PRESCOLAIRE,60,INSPECTEURS ADJOINTS DE L'ENSEIGNEMENT ELEMENTAIRE OU INSPECTEURS DE L'EDUCATION PRESCOLAIRE,"6_SG","28_SG",ENS_FONCT,INSPECTEURS ADJOINTS DE L'ENSEIGNEMENT ELEMENTAIRE OU INSPECTEURS DE L'EDUCATION PRESCOLAIRE
"41352",PROFESSEURS DE COLLEGE D'ENSEIGNEMENT MOYEN GENERAL NF REF,60,PROFESSEURS DE COLLEGE D'ENSEIGNEMENT MOYEN GENERAL NF REF,"6_SG","28_SG",ENS_NON_FONCT,PROFESSEURS DE COLLEGE D'ENSEIGNEMENT MOYEN GENERAL NF REF
"41353",PROFESSEURS DE COLLEGE D'ENSEIGNEMENT MOYEN GENERAL,60,PROFESSEURS DE COLLEGE D'ENSEIGNEMENT MOYEN GENERAL,"6_SG","28_SG",ENS_FONCT,PROFESSEURS DE COLLEGE D'ENSEIGNEMENT MOYEN GENERAL
"41354",CHARGES D'ENSEIGNEMENT NF REF,60,CHARGES D'ENSEIGNEMENT NF REF,"6_SG","28_SG",ENS_NON_FONCT,CHARGES D'ENSEIGNEMENT NF REF
"41355",CHARGES D'ENSEIGNEMENT,60,CHARGES D'ENSEIGNEMENT,"6_SG","28_SG",ENS_FONCT,CHARGES D'ENSEIGNEMENT
"41356",PROFESSEURS DE L'ENSEIGNEMENT TECHNIQUE PRATIQUE NF REF,60,PROFESSEURS DE L'ENSEIGNEMENT TECHNIQUE PRATIQUE NF REF,"6_SG","28_SG",ENS_NON_FONCT,PROFESSEURS DE L'ENSEIGNEMENT TECHNIQUE PRATIQUE NF REF
"41450",INSTITUTEURS NF REF,60,INSTITUTEURS B3 NF REF,"7_SG","28_SG",ENS_NON_FONCT,INSTITUTEURS NF REF
"41451",INSTITUTEURS,60,INSTITUTEURS B3 ,"7_SG","28_SG",ENS_FONCT,INSTITUTEUR
"41452",MAITRES D'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL NF REF,60,MAITRES D'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL NF REF,"7_SG","28_SG",ENS_NON_FONCT,MAITRES D'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL NF REF
"41453",EDUCATEURS PRESCOLAIRES,60,EDUCATEURS PRESCOLAIRES,"7_SG","28_SG",ENS_FONCT,EDUCATEURS PRESCOLAIRE
"41454",EDUCATEURS PRESCOLAIRES NF REF,60,EDUCATEURS PRESCOLAIRES NF REF,"7_SG","28_SG",ENS_NON_FONCT,EDUCATEURS PRESCOLAIRES NF REF
"41550",INSTITUTEURS NF,60,INSTITUTEURS B4 NF REF ,"8_SG","28_SG",ENS_NON_FONCT,INSTITUTEURS NF
"41700",INSTITUTEURS ADJOINTS NF REF,60,INSTITUTEURS ADJOINTS C2 NF REF,"10_SG","28_SG",ENS_NON_FONCT,INSTITUTEURS ADJOINTS NF REF
"41701",INSTITUTEURS ADJOINTS,60,INSTITUTEURS ADJOINTS C2,"10_SG","28_SG",ENS_FONCT,INSTITUTEURS ADJOINT
"41752",INSTITUTEURS ADJOINTS NF,60,INSTITUTEURS ADJOINTS C3 NF REF,"11_SG","28_SG",ENS_NON_FONCT,INSTITUTEURS ADJOINTS NF
"41901",MONITEURS,60,MONITEURS,"13_SG","28_SG",ENS_FONCT,MONITEUR
"41902",MONITEURS NF REF,60,MONITEURS NF REF,"13_SG","28_SG",ENS_NON_FONCT,MONITEURS NF REF
"42025","INSPECTEURS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS",60,"INSPECTEURS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS","1_SG","29_SG",ENS_FONCT,"INSPECTEURS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORT"
"42026","INSPECTEURS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS NF REF",60,"INSPECTEURS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS NF REF","1_SG","29_SG",ENS_NON_FONCT,"INSPECTEURS DE L'EDUCATION POPULAIRE, DE LA JEUNESSE ET DES SPORTS NF REF"
"42027",PROFESSEURS D'EDUCATION PHYSIQUE ET SPORTIVE,60,PROFESSEURS D'EDUCATION PHYSIQUE ET SPORTIVE,"1_SG","29_SG",ENS_FONCT,PROFESSEURS D'EDUCATION PHYSIQUE ET SPORTIVE
"42028",PROFESSEURS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF,60,PROFESSEURS DE L'EDUCATION PHYSIQUE ET DU SPORT NF REF,"1_SG","29_SG",ENS_NON_FONCT,PROFESSEURS D'EDUCATION PHYSIQUE ET SPORTIVE NF REF
"42351",CONSEILLERS D'EDUCATION POPULAIRE,60,CONSEILLERS D'EDUCATION POPULAIRE,"6_SG","29_SG",ENS_FONCT,CONSEILLERS D'EDUCATION POPULAIRE
"42352",CONSEILLERS D'EDUCATION POPULAIRE NF REF,60,CONSEILLERS D'EDUCATION POPULAIRE NF REF,"6_SG","29_SG",ENS_NON_FONCT,CONSEILLERS D'EDUCATION POPULAIRE NF REF
